pnt_id,simplexK,residue,residue_pos,coefsum,coefsum_pos,coef_sparsity,coef_sparsity_pos,maxdist,mindist,n_active,n_active_pos
1024,1,9.466743449226275,9.466743449226279,0.957011677153785,0.9570116771537861,0,0,9.553893089294434,9.553893089294434,1,1
1024,2,8.432545149594267,8.43254514959427,0.9739555185203006,0.9739555185203017,0,0,9.755915641784668,9.553893089294434,2,2
1024,3,7.937407463163502,7.937407463163502,0.9819112619811601,0.9819112619811607,0,0,9.771537780761719,9.553893089294434,3,3
1024,4,7.189423139372756,7.189423139372756,0.9954776587244097,0.995477658724411,0,0,9.774605751037598,9.553893089294434,4,4
1024,8,6.715302549163374,6.787980888082621,1.0052220225431374,1.0032001609129675,2,2,10.2297945022583,9.553893089294434,6,6
1024,16,6.150661268215119,6.225220053187226,1.0208035932151933,1.0187343173397527,5,7,10.660027503967285,9.553893089294434,11,9
1024,32,5.339742216951124,6.055968374109966,1.0249018784831831,1.0214019764126905,13,20,11.11590576171875,9.553893089294434,19,12
1024,64,4.102689849932696,5.880146108503642,1.0147611844026807,1.0256225782038357,30,49,11.73902416229248,9.553893089294434,34,15
1024,128,2.2148045531161493,5.683307060056055,1.0063115639519373,1.032820371205711,66,113,12.414542198181152,9.553893089294434,62,15
1025,1,2.437598684160604,2.437598684160604,0.9935708056472259,0.993570805647226,0,0,2.4457523822784424,2.4457523822784424,1,1
1025,2,2.2581683458328015,2.258168345832801,0.9958128383060467,0.9958128383060465,0,0,2.6435070037841797,2.4457523822784424,2,2
1025,3,2.182507154001035,2.182507154001035,0.9961998945806909,0.9961998945806909,0,0,2.7010045051574707,2.4457523822784424,3,3
1025,4,1.823804381218469,1.8238043812184683,0.998854391552366,0.9988543915523649,0,0,2.765069007873535,2.4457523822784424,4,4
1025,8,1.457155649720046,1.5958464900760605,1.0012104307326937,1.0011990852167854,1,1,3.051022529602051,2.4457523822784424,7,7
1025,16,1.2049999269672143,1.4301580313389273,1.002022530691356,1.0018004757553383,4,6,3.299879789352417,2.4457523822784424,12,10
1025,32,0.7228058912277422,1.4177222332507249,1.0012489453291227,1.0021345335693925,13,18,3.602731704711914,2.4457523822784424,19,14
1025,64,0.4381867156082054,1.2814674975242166,1.0002377588537068,1.003586783240312,30,53,3.9756433963775635,2.4457523822784424,34,11
1025,128,0.08354738507483649,1.1983897531725314,0.9999337641109349,1.0045191569325804,70,113,4.435132026672363,2.4457523822784424,58,15
1026,1,9.77694941395869,9.776949413958699,0.9485747757402955,0.9485747757402985,0,0,9.894527435302734,9.894527435302734,1,1
1026,2,8.10061236344807,8.100612363448068,0.9793434033180564,0.9793434033180557,0,0,9.975708961486816,9.894527435302734,2,2
1026,3,7.435958913056898,7.435958913056899,0.9888943828695742,0.9888943828695754,0,0,10.077322006225586,9.894527435302734,3,3
1026,4,7.177736381709177,7.177736381709177,0.9949595597050853,0.9949595597050864,0,0,10.223383903503418,9.894527435302734,4,4
1026,8,6.434104644255821,6.43410464425582,1.0133524717768154,1.0133524717768168,0,0,10.683257102966309,9.894527435302734,8,8
1026,16,5.980331800464857,5.990130759131262,1.0207877128472365,1.021041102443665,4,4,11.262869834899902,9.894527435302734,12,12
1026,32,5.363801655554144,5.734682272738763,1.028521738176794,1.0295116728422775,9,18,11.7273588180542,9.894527435302734,23,14
1026,64,3.9858183061106,5.522636896169473,1.0221790689570063,1.035609626682486,30,44,12.260655403137207,9.894527435302734,34,20
1026,128,2.0924857435671766,5.50405915998481,1.0059653336101786,1.0365348757968307,59,108,12.836433410644531,9.894527435302734,69,20
1027,1,2.735588105721976,2.7355881057219764,0.9980656532430786,0.9980656532430783,0,0,2.736248016357422,2.736248016357422,1,1
1027,2,2.5651460036296787,2.5651460036296783,0.997955476681981,0.9979554766819803,0,0,3.1990315914154053,2.736248016357422,2,2
1027,3,2.4718241063703754,2.4718241063703754,0.9989439471751067,0.9989439471751057,0,0,3.241814613342285,2.736248016357422,3,3
1027,4,2.3865446497157645,2.386544649715766,0.9992500942631863,0.9992500942631852,0,0,3.3034591674804688,2.736248016357422,4,4
1027,8,2.3236736258187665,2.324025741527057,1.0003734562078401,1.0003331116525824,1,1,3.672329902648926,2.736248016357422,7,7
1027,16,1.7800562731961722,2.2125857344203275,1.0011504532933273,1.002804118416509,5,8,4.342673301696777,2.736248016357422,11,8
1027,32,1.1651480573815653,2.101509575318945,1.001554994020759,1.0044919581600023,14,22,4.7620439529418945,2.736248016357422,18,10
1027,64,0.6440192072400089,1.9792753525432265,1.0010218656594008,1.0066398726548227,29,50,5.125868797302246,2.736248016357422,35,14
1027,128,0.07708337821488216,1.9663206630921128,0.9999864223696253,1.006733077925522,71,111,5.660552501678467,2.736248016357422,57,17
1028,1,11.376225193471255,11.376225193471262,0.9099983101925009,0.9099983101925035,0,0,11.686704635620117,11.686704635620117,1,1
1028,2,9.631402476743233,9.63140247674319,0.963303228316014,0.9633032283160157,0,0,11.763758659362793,11.686704635620117,2,2
1028,3,8.725079738674733,8.725079738674731,0.988900880097699,0.9889008800976993,0,0,12.394674301147461,11.686704635620117,3,3
1028,4,8.54029071042016,8.540290710420162,0.9957313445463698,0.995731344546371,0,0,12.620631217956543,11.686704635620117,4,4
1028,8,8.213388145847336,8.213388145847334,1.0044822327309346,1.0044822327309375,0,0,12.951879501342773,11.686704635620117,8,8
1028,16,7.641246513732656,7.817916267424739,1.0223334168677458,1.019604240065773,5,6,13.402693748474121,11.686704635620117,11,10
