residue,residue_pos,coefsum,coefsum_pos,coef_sparsity,coef_sparsity_pos,maxdist,mindist,pnt_id,simplexK
13.989728451596678,13.989728451596676,0.9721136921529687,0.97211369215297,0,0,14.010190963745117,14.010190963745117,0,1
12.52017898346613,12.52017898346613,1.023055327489037,1.023055327489038,0,0,14.52506160736084,14.010190963745117,0,2
12.29773349886153,12.297733498861529,1.0420922261207293,1.04209222612073,0,0,14.565348625183105,14.010190963745117,0,3
11.545274031607919,11.545274031607919,1.0323738194678702,1.0323738194678718,0,0,14.588396072387695,14.010190963745117,0,4
11.47885682080325,11.486295933953263,1.0598050260261194,1.0550181600971358,3,3,14.85290241241455,14.010190963745117,0,8
10.536299882865102,10.792303622173465,1.0194941126147663,1.0214992522640114,5,8,15.05190658569336,14.010190963745117,0,16
9.152731560421998,10.073426747510547,1.0409259880366986,1.0421928703899468,10,20,15.42215633392334,14.010190963745117,0,32
8.133164574646795,9.561675344003051,0.9985566867409117,1.0801667155891583,28,48,15.971116065979004,14.010190963745117,0,64
6.627310765903899,9.401145556455225,0.989639948174237,1.0790980950047124,55,112,16.634639739990234,14.010190963745117,0,128
23.553101085769484,23.55310108576948,0.9238815231575525,0.923881523157551,0,0,23.661884307861328,23.661884307861328,1,1
21.93465363043741,21.93465363043741,1.021283376509165,1.021283376509165,0,0,24.024314880371094,23.661884307861328,1,2
20.43814711157539,20.43814711157539,1.0683944410352302,1.068394441035229,0,0,24.23392105102539,23.661884307861328,1,3
20.43805036104536,20.43814711157539,1.0678581254539412,1.068394441035229,1,1,24.346940994262695,23.661884307861328,1,4
19.762896227450316,19.85558323287093,1.1122731976447502,1.1319793245618421,2,2,24.58406639099121,23.661884307861328,1,8
19.00782159895951,19.680114207310915,1.0777308234100085,1.139875866745708,3,6,25.086389541625977,23.661884307861328,1,16
18.117461423340778,19.262909443595888,1.0378438552385907,1.1359635248329254,9,17,25.560321807861328,23.661884307861328,1,32
16.9167272193907,18.677455360893962,0.9464456853677754,1.124787738017864,28,50,26.10764503479004,23.661884307861328,1,64
14.028294491114297,17.582968930549093,1.033342920899988,1.1871708943456176,60,112,26.708406448364258,23.661884307861328,1,128
25.566655097599902,25.566655097599902,0.7214462008390485,0.7214462008390494,0,0,27.120361328125,27.120361328125,2,1
24.327452908857904,24.327452908857904,0.9050392133403,0.9050392133403009,0,0,27.179824829101562,27.120361328125,2,2
23.373669968900224,23.373669968900224,1.1106251285925317,1.1106251285925333,0,0,27.228511810302734,27.120361328125,2,3
22.826597278748217,22.82659727874821,1.1377210174339396,1.137721017433941,0,0,27.278003692626953,27.120361328125,2,4
22.026320399726295,22.159856982708245,1.2364052926625186,1.2367083632865632,1,1,28.263147354125977,27.120361328125,2,8
21.653049908869132,21.852763288968358,1.1518038948339089,1.2494215218768567,5,8,28.823963165283203,27.120361328125,2,16
20.561029382345442,21.5557225535928,1.1860273264291479,1.3139913415726232,13,22,29.12514877319336,27.120361328125,2,32
18.678897321458578,20.976439842102266,1.1050521347944469,1.3672478743382608,34,54,29.448089599609375,27.120361328125,2,64
15.954001054061377,20.52126610930482,1.0308748317973737,1.40017580417814,57,112,29.989391326904297,27.120361328125,2,128
