pnt_id,simplexK,residue,residue_pos,coefsum,coefsum_pos,coef_sparsity,coef_sparsity_pos,maxdist,mindist,n_active,n_active_pos
1024,1,3.64254445498322,3.6425444549832187,0.990312782405494,0.9903127824054949,0,0,3.6548328399658203,3.6548328399658203,1,1
1024,2,2.84582150079563,2.8458215007956293,0.9975116216287734,0.9975116216287736,0,0,3.7755377292633057,3.6548328399658203,2,2
1024,3,2.6999767994109742,2.6999767994109742,0.9987248798806718,0.9987248798806725,0,0,3.840541124343872,3.6548328399658203,3,3
1024,4,2.6680761831288624,2.6680761831288624,0.999248057292625,0.9992480572926254,0,0,4.0099077224731445,3.6548328399658203,4,4
1024,8,2.302306734272822,2.4638513752332636,1.0017519173446887,1.0015597107987557,1,2,4.314056396484375,3.6548328399658203,7,6
1024,16,1.9054973850653545,2.2160989492923475,1.0044396166612346,1.0037312110383492,6,8,4.580868721008301,3.6548328399658203,10,8
1024,32,1.6043320361751208,2.1099523859665776,1.0050831213452875,1.0060407944225631,12,23,4.925359725952148,3.6548328399658203,20,9
1024,64,1.2466348244083698,2.0578989206893437,1.0020702115375224,1.0071572933507478,27,54,5.317025661468506,3.6548328399658203,37,10
1024,128,0.2794385898534083,2.047459317760479,0.9997203887955917,1.0078183058006165,63,117,5.876754283905029,3.6548328399658203,65,11
1025,1,10.826572965143255,10.826572965143257,0.9318789907587438,0.9318789907587454,0,0,11.014955520629883,11.014955520629883,1,1
1025,2,8.830245785417915,8.830245785417912,0.9728220024399319,0.9728220024399336,0,0,11.2816162109375,11.014955520629883,2,2
1025,3,8.378360460724526,8.378360460724526,0.9800022302396268,0.9800022302396274,0,0,11.300028800964355,11.014955520629883,3,3
1025,4,7.711983050053174,7.711983050053175,0.9917023824006037,0.9917023824006055,0,0,11.542519569396973,11.014955520629883,4,4
1025,8,7.21083587296499,7.254054916361784,1.0050849290270738,1.0048896127366658,1,1,11.728863716125488,11.014955520629883,7,7
1025,16,6.945946232990551,7.070958260984463,1.0121436579987106,1.0117126190122454,4,8,12.273507118225098,11.014955520629883,12,8
1025,32,5.950962395954214,6.781066390478218,1.0201800485406305,1.0220027421866642,15,22,12.637642860412598,11.014955520629883,17,10
1025,64,4.7205706079641505,6.567302900944072,1.0195716314675491,1.0289869662040805,27,50,13.077476501464844,11.014955520629883,37,14
1025,128,2.7301565256800058,6.33426339625,1.0030740915376228,1.0392501648654382,63,112,13.572590827941895,11.014955520629883,65,16
1026,1,11.260605993269158,11.260605993269158,0.9335170721462209,0.9335170721462215,0,0,11.43915843963623,11.43915843963623,1,1
1026,2,9.09873456784572,9.09873456784572,0.9870056956018534,0.9870056956018529,0,0,11.47768783569336,11.43915843963623,2,2
1026,3,8.491089899286385,8.491089899286385,0.9987306115088006,0.9987306115087997,0,0,11.483964920043945,11.43915843963623,3,3
1026,4,8.459141219527094,8.459141219527092,0.9997820627237521,0.9997820627237511,0,0,11.539045333862305,11.43915843963623,4,4
1026,8,6.8723981684942785,6.8749244820608615,1.0283915888509205,1.0283946203420764,1,1,12.00993537902832,11.43915843963623,7,7
1026,16,6.532803874849302,6.790245609209376,1.0339747537658797,1.0320347009578446,3,6,12.483512878417969,11.43915843963623,13,10
1026,32,5.796073722321331,6.605549992109976,1.0366713185103467,1.0397128982842223,12,20,13.04840087890625,11.43915843963623,20,12
1026,64,4.393538073925394,6.372275173512288,1.0291740235476823,1.0490376782658795,31,52,13.510427474975586,11.43915843963623,33,12
1026,128,2.554059391828735,6.31206939880886,1.0086208499795621,1.0514311453250413,65,113,14.02988052368164,11.43915843963623,63,15
1027,1,12.264512757359924,12.264512757359928,0.9163322893664354,0.9163322893664386,0,0,12.517911911010742,12.517911911010742,1,1
1027,2,10.005445221631902,10.005445221631904,0.9772754230361567,0.9772754230361577,0,0,12.544744491577148,12.517911911010742,2,2
1027,3,8.960927649084317,8.960927649084317,1.000376118705233,1.0003761187052331,0,0,12.555595397949219,12.517911911010742,3,3
1027,4,8.221869112290356,8.221869112290356,1.0185506259688166,1.0185506259688188,0,0,12.603389739990234,12.517911911010742,4,4
1027,8,8.010830984755557,8.05873908297255,1.0244954633665755,1.0249687155108465,1,1,13.436327934265137,12.517911911010742,7,7
1027,16,7.113693891481633,7.693381371143134,1.0445711509142768,1.0385735950143271,5,5,13.825118064880371,12.517911911010742,11,11
1027,32,6.568360895600669,7.406595815844392,1.051978488546582,1.0487922515805495,13,19,14.426895141601562,12.517911911010742,19,13
1027,64,5.128484447244716,7.173856133388005,1.038195198207285,1.059524904935866,32,50,14.978487968444824,12.517911911010742,32,14
1027,128,3.369849338863192,7.128059608897278,1.0146559348823954,1.06282726230054,63,110,15.842888832092285,12.517911911010742,65,18
1028,1,4.854199204176514,4.854199204176508,0.9838231034803573,0.983823103480359,0,0,4.878977298736572,4.878977298736572,1,1
1028,2,4.384991890216904,4.384991890216904,0.9894605569985175,0.9894605569985182,0,0,5.8173065185546875,4.878977298736572,2,2
1028,3,4.371374677324404,4.3713746773244,0.9902589912307671,0.9902589912307683,0,0,5.964219093322754,4.878977298736572,3,3
1028,4,3.961233084395494,4.004647841943558,0.9935932695274264,0.9942737153442123,1,1,6.065433979034424,4.878977298736572,3,3
1028,8,3.4043154490283514,3.5284789149382263,0.9989103713416398,0.9999543452428443,2,2,6.296245098114014,4.878977298736572,6,6
1028,16,2.6751473377155204,3.274248216329795,1.0029717216163148,1.0030293658633667,6,8,6.538920879364014,4.878977298736572,10,8
